COG	Protein name	Pathway	Letter	Function
COG0001	Glutamate-1-semialdehyde aminotransferase	Heme biosynthesis	H	Coenzyme Transport and Metabolism
COG0002	N-acetyl-gamma-glutamylphosphate reductase	Arginine biosynthesis	E	Amino Acid Transport and Metabolism
COG0003	Anion-transporting ATPase, ArsA/GET3 family		P	Inorganic Ion Transport and Metabolism
COG0004	Ammonia channel protein AmtB		P	Inorganic Ion Transport and Metabolism
COG0005	Purine nucleoside phosphorylase	Purine salvage	F	Nucleotide Transport and Metabolism
COG0006	Xaa-Pro aminopeptidase		E	Amino Acid Transport and Metabolism
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	Cobalamine/B12 biosynthesis	H	Coenzyme Transport and Metabolism
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	Heme biosynthesis	J	Translation, Ribosomal Structure and Biogenesis
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0010	Arginase/agmatinase family enzyme	Urea cycle	E	Amino Acid Transport and Metabolism
COG0011	Thiamin-binding stress-response protein YqgV, UPF0045 family		H	Coenzyme Transport and Metabolism
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family		J	Translation, Ribosomal Structure and Biogenesis
COG0013	Alanyl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0014	Gamma-glutamyl phosphate reductase	Proline biosynthesis	E	Amino Acid Transport and Metabolism
COG0015	Adenylosuccinate lyase	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0017	Aspartyl/asparaginyl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0018	Arginyl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0019	Diaminopimelate decarboxylase	Lysine biosynthesis	E	Amino Acid Transport and Metabolism
COG0020	Undecaprenyl pyrophosphate synthase		I	Lipid Transport and Metabolism
COG0021	Transketolase	Pentose phosphate pathway	G	Carbohydrate Transport and Metabolism
COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	Pyruvate oxidation	C	Energy Production and Conversion
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG0024	Methionine aminopeptidase		J	Translation, Ribosomal Structure and Biogenesis
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter		P	Inorganic Ion Transport and Metabolism
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	Isoleucine, leucine, valine biosynthesis	E	Amino Acid Transport and Metabolism
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	Isoleucine, leucine, valine biosynthesis	H	Coenzyme Transport and Metabolism
COG0029	Aspartate oxidase	NAD biosynthesis	H	Coenzyme Transport and Metabolism
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	16S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0031	Cysteine synthase	Cysteine biosynthesis	E	Amino Acid Transport and Metabolism
COG0033	Phosphoglucomutase/phosphomannomutase		G	Carbohydrate Transport and Metabolism
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0035	Uracil phosphoribosyltransferase	Pyrimidine salvage	F	Nucleotide Transport and Metabolism
COG0036	Pentose-5-phosphate-3-epimerase	Pentose phosphate pathway	G	Carbohydrate Transport and Metabolism
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0038	H+/Cl- antiporter ClcA		P	Inorganic Ion Transport and Metabolism
COG0039	Malate/lactate dehydrogenase	TCA cycle	C	Energy Production and Conversion
COG0040	ATP phosphoribosyltransferase	Histidine biosynthesis	E	Amino Acid Transport and Metabolism
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0042	tRNA-dihydrouridine synthase	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	Ubiquinone biosynthesis	H	Coenzyme Transport and Metabolism
COG0044	Dihydroorotase or related cyclic amidohydrolase	Pyrimidine biosynthesis	F	Nucleotide Transport and Metabolism
COG0045	Succinyl-CoA synthetase, beta subunit	TCA cycle	C	Energy Production and Conversion
COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0048	Ribosomal protein S12	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0049	Ribosomal protein S7	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0050	Translation elongation factor EF-Tu, a GTPase	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG0051	Ribosomal protein S10	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0052	Ribosomal protein S2	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0053	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump		P	Inorganic Ion Transport and Metabolism
COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	Riboflavin/FAD biosynthesis	H	Coenzyme Transport and Metabolism
COG0055	FoF1-type ATP synthase, beta subunit	FoF1-type ATP synthase	C	Energy Production and Conversion
COG0056	FoF1-type ATP synthase, alpha subunit	FoF1-type ATP synthase	C	Energy Production and Conversion
COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	Glycolysis	G	Carbohydrate Transport and Metabolism
COG0058	Glucan phosphorylase		G	Carbohydrate Transport and Metabolism
